"","budget","id","original_language","popularity","production_companies","production_countries","release_date","revenue","runtime","status","title","vote_average","vote_count","genre_1","genre_2"
"11",270000000,1452,"en",57.925623,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-06-28,391081192,154,"Released","Superman Returns",5.4,1400,"Adventure","Fantasy"
"12",200000000,10764,"en",107.928811,"[{""name"": ""Eon Productions"", ""id"": 7576}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-10-30,586090727,106,"Released","Quantum of Solace",6.1,2965,"Adventure","Action"
"13",200000000,58,"en",145.847379,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]","[{""iso_3166_1"": ""JM"", ""name"": ""Jamaica""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""BS"", ""name"": ""Bahamas""}, {""iso_3166_1"": ""DM"", ""name"": ""Dominica""}]",2006-06-20,1065659812,151,"Released","Pirates of the Caribbean: Dead Man's Chest",7,5246,"Adventure","Fantasy"
"14",255000000,57201,"en",49.046956,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Infinitum Nihil"", ""id"": 2691}, {""name"": ""Silver Bullet Productions (II)"", ""id"": 37380}, {""name"": ""Blind Wink Productions"", ""id"": 37381}, {""name"": ""Classic Media"", ""id"": 37382}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-07-03,89289910,149,"Released","The Lone Ranger",5.9,2311,"Action","Adventure"
"15",225000000,49521,"en",99.398009,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-12,662845518,143,"Released","Man of Steel",6.5,6359,"Action","Adventure"
"16",225000000,2454,"en",53.978602,"[{""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""Walden Media"", ""id"": 10221}, {""name"": ""Stillking Films"", ""id"": 11345}, {""name"": ""Ozumi Films"", ""id"": 11440}, {""name"": ""Propeler"", ""id"": 11441}, {""name"": ""Silverbell Films"", ""id"": 11442}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""PL"", ""name"": ""Poland""}, {""iso_3166_1"": ""SI"", ""name"": ""Slovenia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-05-15,419651413,150,"Released","The Chronicles of Narnia: Prince Caspian",6.3,1630,"Adventure","Family"
"17",220000000,24428,"en",144.448633,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Marvel Studios"", ""id"": 420}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-04-25,1519557910,143,"Released","The Avengers",7.4,11776,"Science Fiction","Action"
"18",380000000,1865,"en",135.413856,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-05-14,1045713802,136,"Released","Pirates of the Caribbean: On Stranger Tides",6.4,4948,"Adventure","Action"
"19",225000000,41154,"en",52.035179,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Media Magik Entertainment"", ""id"": 5627}, {""name"": ""Imagenation Abu Dhabi FZ"", ""id"": 6736}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-05-23,624026776,106,"Released","Men in Black 3",6.2,4160,"Action","Comedy"
"20",250000000,122917,"en",120.965743,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""3Foot7"", ""id"": 7413}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-12-10,956019788,144,"Released","The Hobbit: The Battle of the Five Armies",7.1,4760,"Action","Adventure"
"21",215000000,1930,"en",89.866276,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Entertainment"", ""id"": 7505}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-06-27,752215857,136,"Released","The Amazing Spider-Man",6.5,6586,"Action","Adventure"
"22",200000000,20662,"en",37.668301,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Relativity Media"", ""id"": 7295}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-05-12,310669540,140,"Released","Robin Hood",6.2,1398,"Action","Adventure"
"23",250000000,57158,"en",94.370564,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-12-11,958400000,161,"Released","The Hobbit: The Desolation of Smaug",7.6,4524,"Adventure","Fantasy"
"24",180000000,2268,"en",42.990906,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Depth of Field"", ""id"": 1473}, {""name"": ""Scholastic Productions"", ""id"": 1938}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-12-04,372234864,113,"Released","The Golden Compass",5.8,1303,"Adventure","Fantasy"
"25",207000000,254,"en",61.22601,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Big Primate Pictures"", ""id"": 68}, {""name"": ""MFPV Film"", ""id"": 69}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2005-12-14,5.5e+08,187,"Released","King Kong",6.6,2337,"Adventure","Drama"
"26",200000000,597,"en",100.025899,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-11-18,1845034188,194,"Released","Titanic",7.5,7562,"Drama","Romance"
"27",250000000,271110,"en",198.372395,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}, {""name"": ""Vita-Ray Dutch Productions (III)"", ""id"": 84424}, {""name"": ""Deluxe Digital Studios"", ""id"": 84425}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-04-27,1153304495,147,"Released","Captain America: Civil War",7.1,7241,"Adventure","Action"
"28",209000000,44833,"en",64.928382,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Hasbro"", ""id"": 2598}, {""name"": ""Bluegrass Films"", ""id"": 13778}, {""name"": ""Film 44"", ""id"": 20153}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-04-11,303025485,131,"Released","Battleship",5.5,2114,"Thriller","Action"
"29",150000000,135397,"en",418.708552,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-09,1513528810,124,"Released","Jurassic World",6.5,8662,"Action","Adventure"
"30",200000000,37724,"en",93.004993,"[{""name"": ""Columbia Pictures"", ""id"": 5}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-10-25,1108561013,143,"Released","Skyfall",6.9,7604,"Action","Adventure"
"31",200000000,558,"en",35.149586,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-06-25,783766341,127,"Released","Spider-Man 2",6.7,4321,"Action","Adventure"
"32",200000000,68721,"en",77.68208,"[{""name"": ""Marvel Studios"", ""id"": 420}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-04-18,1215439994,130,"Released","Iron Man 3",6.8,8806,"Action","Adventure"
"33",200000000,12155,"en",78.530105,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Team Todd"", ""id"": 598}, {""name"": ""Tim Burton Productions"", ""id"": 8601}, {""name"": ""Roth Films"", ""id"": 16314}, {""name"": ""Zanuck Company, The"", ""id"": 20004}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-03-03,1025491110,108,"Released","Alice in Wonderland",6.4,4645,"Family","Fantasy"
"34",210000000,36668,"en",3.857526,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Major Studio Partners"", ""id"": 445}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""thinkfilm"", ""id"": 12247}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""X3 Canada Productions"", ""id"": 79028}, {""name"": ""X3US Productions"", ""id"": 79029}, {""name"": ""XM3 Service"", ""id"": 79030}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-05-24,459359555,104,"Released","X-Men: The Last Stand",6.3,3525,"Adventure","Action"
"35",200000000,62211,"en",89.186492,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-20,743559607,104,"Released","Monsters University",7,3528,"Animation","Family"
"36",150000000,8373,"en",21.939663,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-06-19,836297228,150,"Released","Transformers: Revenge of the Fallen",6,3138,"Science Fiction","Action"
"37",210000000,91314,"en",116.840296,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""China Movie Channel"", ""id"": 11413}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Ian Bryce Productions"", ""id"": 38833}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-06-25,1091405097,165,"Released","Transformers: Age of Extinction",5.8,3095,"Science Fiction","Action"
"38",200000000,68728,"en",46.985445,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Roth Films"", ""id"": 16314}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-03-07,491868548,130,"Released","Oz: The Great and Powerful",5.7,3530,"Fantasy","Adventure"
"39",200000000,102382,"en",89.270217,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""Avi Arad Productions"", ""id"": 31828}, {""name"": ""Matt Tolmach Productions"", ""id"": 53462}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-04-16,705717432,142,"Released","The Amazing Spider-Man 2",6.5,4179,"Action","Adventure"
"40",170000000,20526,"en",73.79505,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""LivePlanet"", ""id"": 7161}, {""name"": ""Prana Studios"", ""id"": 18713}, {""name"": ""Sean Bailey Productions"", ""id"": 23791}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}, {""name"": ""Kontsept Film Company"", ""id"": 76067}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-12-10,400062763,125,"Released","TRON: Legacy",6.3,2841,"Adventure","Action"
"41",200000000,49013,"en",49.98659,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-06-11,559852396,106,"Released","Cars 2",5.8,2033,"Animation","Family"
"42",200000000,44912,"en",51.872839,"[{""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-06-16,219851172,114,"Released","Green Lantern",5.1,2487,"Adventure","Action"
"43",200000000,10193,"en",59.995418,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-06-16,1066969703,103,"Released","Toy Story 3",7.6,4597,"Animation","Family"
"44",200000000,534,"en",71.862892,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""The Halcyon Company"", ""id"": 4021}, {""name"": ""Wonderland Sound and Vision"", ""id"": 4022}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-05-20,371353001,115,"Released","Terminator Salvation",5.9,2463,"Action","Science Fiction"
"45",190000000,168259,"en",102.322217,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""One Race Films"", ""id"": 7154}, {""name"": ""China Film Co."", ""id"": 40890}, {""name"": ""Qu\u00e9bec Production Services Tax Credit"", ""id"": 86352}, {""name"": ""Media Rights Capital (MRC)"", ""id"": 86655}, {""name"": ""Abu Dhabi Film Commission"", ""id"": 87857}, {""name"": ""Colorado Office of Film, Television & Media"", ""id"": 87858}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-04-01,1506249360,137,"Released","Furious 7",7.3,4176,"Action",NA
"46",200000000,72190,"en",81.834855,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""GK Films"", ""id"": 3281}, {""name"": ""Skydance Productions"", ""id"": 6277}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""Apparatus Productions"", ""id"": 11956}, {""name"": ""Latina Pictures"", ""id"": 19108}, {""name"": ""2DUX\u00b2"", ""id"": 23644}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""MT"", ""name"": ""Malta""}]",2013-06-20,531865000,116,"Released","World War Z",6.7,5560,"Action","Drama"
"47",250000000,127585,"en",118.078691,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Down Productions"", ""id"": 37336}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-05-15,747862775,131,"Released","X-Men: Days of Future Past",7.5,6032,"Action","Adventure"
"48",190000000,54138,"en",78.291018,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Skydance Productions"", ""id"": 6277}, {""name"": ""Bad Robot"", ""id"": 11461}, {""name"": ""Kurtzman/Orci"", ""id"": 12536}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-05-05,467365246,132,"Released","Star Trek Into Darkness",7.4,4418,"Action","Adventure"
"49",195000000,81005,"en",43.349855,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Big Kid Pictures"", ""id"": 8406}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-02-27,197687603,114,"Released","Jack the Giant Slayer",5.5,2598,"Action","Family"
"50",105000000,64682,"en",61.196071,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Bazmark Films"", ""id"": 240}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""A&E Television Networks"", ""id"": 11858}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}, {""name"": ""Spectrum Films"", ""id"": 14604}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",2013-05-10,351040419,143,"Released","The Great Gatsby",7.3,3769,"Drama","Romance"
"51",150000000,9543,"en",62.169881,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-05-19,335154643,116,"Released","Prince of Persia: The Sands of Time",6.2,2317,"Adventure","Fantasy"
"52",180000000,68726,"en",56.523205,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Disney Double Dare You (DDY)"", ""id"": 19750}, {""name"": ""Indochina Productions"", ""id"": 19751}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]",2013-07-11,407602906,131,"Released","Pacific Rim",6.7,4794,"Action","Science Fiction"
"53",195000000,38356,"en",28.529607,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Indochina Productions"", ""id"": 19751}, {""name"": ""Hasbro Studios"", ""id"": 22826}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-06-28,1123746996,154,"Released","Transformers: Dark of the Moon",6.1,3299,"Action","Science Fiction"
"54",185000000,217,"en",75.674458,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-05-21,786636033,122,"Released","Indiana Jones and the Kingdom of the Crystal Skull",5.7,2495,"Adventure","Action"
"55",175000000,105864,"en",51.692953,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-11-14,331926147,93,"Released","The Good Dinosaur",6.6,1736,"Adventure","Animation"
"56",185000000,62177,"en",125.114374,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-06-21,538983207,93,"Released","Brave",6.7,4641,"Animation","Adventure"
"57",185000000,188927,"en",65.352913,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Bad Robot"", ""id"": 11461}, {""name"": ""Perfect Storm Entertainment"", ""id"": 34530}, {""name"": ""Alibaba Pictures Group"", ""id"": 69484}, {""name"": ""Skydance Media"", ""id"": 82819}, {""name"": ""Sneaky Shark"", ""id"": 83644}, {""name"": ""Huahua Media"", ""id"": 83645}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-07-07,343471816,122,"Released","Star Trek Beyond",6.6,2568,"Action","Adventure"
"58",180000000,10681,"en",66.390712,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}, {""name"": ""FortyFour Studios"", ""id"": 93408}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-06-22,521311860,98,"Released","WALL·E",7.8,6296,"Animation","Family"
"59",140000000,5174,"en",22.57178,"[{""name"": ""New Line Cinema"", ""id"": 12}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-08-08,258022233,91,"Released","Rush Hour 3",6.1,783,"Action","Comedy"
"60",200000000,14161,"en",45.274225,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Centropolis Entertainment"", ""id"": 347}, {""name"": ""The Mark Gordon Company"", ""id"": 1557}, {""name"": ""Farewell Productions"", ""id"": 10905}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-10-10,769653595,158,"Released","2012",5.6,4903,"Action","Adventure"
"61",200000000,17979,"en",39.744242,"[{""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""ImageMovers"", ""id"": 11395}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-11-04,325233863,96,"Released","A Christmas Carol",6.6,1095,"Animation","Drama"
"62",176000003,76757,"en",85.36908,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Anarchos Productions"", ""id"": 450}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-02-04,183987723,124,"Released","Jupiter Ascending",5.2,2768,"Science Fiction","Fantasy"
