"","budget","popularity","revenue","runtime","vote_average","vote_count","genre_1","genre_2","release_month"
"220",1.2e+08,33.616115,259175788,106,5.2,914,"Action","Adventure","6"
"222",1.2e+08,27.990284,169956806,78,5.4,613,"Family","Adventure","7"
"224",1.05e+08,27.835436,115772733,119,6.3,1570,"Action","Science Fiction","6"
"226",1.2e+08,17.060695,93945766,135,5.7,354,"Action","Family","5"
"227",1.2e+08,11.137655,48668907,121,4.9,223,"Comedy","Drama","12"
"228",1.17e+08,44.906918,261930431,109,5.9,1547,"Action","Comedy","6"
"236",97250400,20.344364,132900000,116,5,471,"Fantasy","Adventure","1"
"237",1.15e+08,18.714197,77628265,134,5.8,341,"Drama","Action","6"
"238",1.15e+08,60.467984,164602163,114,6,1523,"Action","Adventure","4"
"241",1.16e+08,16.90444,178127760,108,5.7,428,"Action","Adventure","2"
"242",1.35e+08,39.873791,245623848,112,5.8,963,"Fantasy","Action","6"
"246",1.1e+08,42.887121,333011068,119,6,925,"Adventure","Action","12"
"247",1.1e+08,23.657284,215294342,165,6.8,1099,"Drama","History","6"
"251",1.16e+08,45.616098,1.02e+08,170,7,1489,"Drama","NA","12"
"252",1.12e+08,22.845143,237382724,85,4.9,621,"Comedy","NA","12"
"253",1.2e+08,31.703608,227817248,119,5.5,1251,"Action","Crime","1"
"255",1.1e+08,36.65422,563749323,103,5.5,1179,"Animation","Family","7"
"256",1.1e+08,19.625972,103951461,76,5.7,389,"Animation","Family","4"
"259",1.05e+08,32.473628,347434178,105,5.5,695,"Fantasy","Family","7"
"260",1.6e+08,23.336875,164508066,121,4.1,434,"Action","Adventure","6"
"264",1.1e+08,22.643776,72178895,120,5.7,672,"Action","Adventure","6"
"265",1.07e+08,18.866672,87713825,157,6.7,447,"Drama","NA","12"
"266",136852477.1,18.251129,NA,82,4.9,366,"Comedy","Fantasy","11"
"268",1.3e+08,44.490453,211643158,144,6.6,1157,"Drama","Action","5"
"269",1.33e+08,30.475297,300135367,84,5.8,959,"Animation","Fantasy","12"
"270",1.05e+08,62.479574,267045765,97,6.7,1247,"Romance","Family","12"
"273",9e+07,1.004579,10372291,104,3.7,16,"Comedy","Romance","4"
"274",9e+07,52.995628,237202299,118,6.1,1485,"Action","Crime","6"
"279",1e+08,51.188633,362211740,119,5.6,1243,"Thriller","Science Fiction","7"
"281",8e+07,33.691694,214104620,140,6.5,1344,"History","Crime","7"
"282",1e+08,42.361215,266465037,157,7.4,1502,"Drama","Crime","11"
"283",1.15e+08,38.729418,378882411,141,6.8,1116,"Action","Thriller","7"
"284",1e+08,40.597856,150166126,106,6.2,954,"Thriller","Drama","6"
"285",1e+08,32.389353,310650585,98,5.4,1060,"Comedy","Romance","12"
"286",1e+08,24.399642,170432927,107,6.1,1383,"Action","Comedy","8"
"287",1e+08,24.507987,242295562,115,5.6,543,"Action","Drama","6"
"289",1e+08,46.727941,100138851,91,6.8,1129,"Drama","Animation","6"
"290",1e+08,51.113717,169327687,78,7.2,1490,"Adventure","Animation","12"
"293",1e+08,30.863434,249288105,104,4.9,967,"Fantasy","Action","12"
"294",1e+08,31.586215,100086793,101,6.4,572,"Family","Fantasy","10"
"295",1e+08,36.711378,268426634,102,6.4,1121,"Animation","Adventure","5"
"296",1e+08,41.426678,278731369,103,6,1699,"Action","Thriller","12"
"297",1e+08,20.652943,211989043,121,5.5,482,"Action","Fantasy","11"
"300",1e+08,48.205606,336529144,121,5.2,1498,"Action","Crime","5"
"301",1.05e+08,58.782359,121214377,129,6.7,1560,"Adventure","Action","11"
"303",8e+07,37.321848,140073390,97,6.5,703,"Animation","Adventure","7"
"304",1e+08,32.271938,82102379,104,4.2,808,"Action","Crime","7"
"306",1.4e+08,38.924136,109578115,95,7.2,948,"Adventure","Animation","11"
"307",1e+08,19.38841,68688831,102,5.3,381,"Adventure","Comedy","6"
"309",1.05e+08,33.507289,133718711,114,5.5,783,"Action","Crime","12"
"310",8.4e+07,17.815595,NA,94,3.6,338,"Fantasy","Comedy","2"
"311",1e+08,50.767332,93820758,122,6.5,1276,"Thriller","Drama","11"
"312",1e+08,12.092241,7103973,95,4.4,142,"Action","Comedy","8"
"313",1e+08,30.254021,94882889,115,6.4,717,"War","Action","3"
"314",9.9e+07,34.308098,246233113,88,6.5,604,"Animation","NA","11"
"315",1e+07,3.091077,13835130,110,7.1,73,"Crime","Drama","9"
"318",9.4e+07,12.516546,95311434,145,7.1,187,"Drama","History","12"
"319",8.5e+07,23.230851,149044513,85,5.9,601,"Animation","Comedy","6"
"320",9e+07,19.224754,1.02e+08,93,5.4,334,"Action","Comedy","6"
"322",147118190.5,16.460356,104907746,85,5.6,578,"Comedy","NA","8"
"324",1e+08,18.325897,288347692,146,5.4,426,"Comedy","Drama","5"
"325",9.5e+07,37.054554,76432727,89,7,858,"Adventure","Animation","3"
"328",6.5e+07,29.257137,93525586,136,6.6,1065,"Fantasy","Drama","12"
"332",9.5e+07,63.628459,114178613,102,5.2,957,"Adventure","Fantasy","12"
"337",9e+07,21.436682,162839667,95,6.3,572,"Adventure","Family","2"
"339",1.45e+08,10.660441,25819961,137,5.8,106,"Western","History","4"
"341",9.8e+07,7.029308,10017322,119,5.7,136,"Action","Adventure","12"
"345",1e+08,37.698465,167805466,98,6.3,1165,"Action","Thriller","11"
"346",9e+07,35.814765,347325802,90,6.4,1054,"Action","Comedy","8"
"347",1e+08,15.835672,155464351,130,6.3,488,"Drama","Horror","7"
"348",1e+08,46.781182,242988466,90,6.5,1747,"Animation","Comedy","9"
"351",9.2e+07,40.20395,264105545,98,5.6,1232,"Action","Adventure","11"
"354",9.2e+07,43.192048,188072649,107,6.5,1667,"Action","Comedy","8"
"358",1e+08,29.608322,94061311,125,5.3,621,"Drama","NA","8"
"359",1.2e+08,51.548589,186053725,95,6.7,1224,"Animation","Family","6"
"360",92580860.31,27.867368,233755553,92,5.8,428,"Adventure","Animation","12"
"361",7.5e+07,38.832842,200276000,121,6.7,1173,"Drama","Thriller","12"
"362",9e+07,40.597344,201596308,113,5.5,1048,"Comedy","Action","6"
"365",9e+07,16.302378,182290266,99,5.2,466,"Thriller","Fantasy","11"
"366",9e+07,55.249434,171120329,150,7.2,1308,"Drama","Science Fiction","7"
"367",9.5e+07,28.200874,190213455,112,5.6,634,"Action","Science Fiction","8"
"368",8e+07,18.69984,162944923,128,6.2,392,"Crime","Thriller","4"
"369",9e+07,40.262261,174578751,106,5.9,1648,"Adventure","Family","8"
"370",9.5e+07,56.811056,156505388,117,5.5,1418,"Action","Adventure","7"
"372",6.8e+07,20.913852,118063304,116,5.9,302,"Thriller","Action","4"
"373",9.2e+07,27.166757,143049560,126,6.8,579,"Action","Crime","11"
"374",9e+07,16.058284,60874615,114,5.7,369,"Science Fiction","NA","3"
"376",1e+08,24.939295,93700000,131,6.9,963,"Comedy","Science Fiction","12"
"377",9e+07,19.836124,NA,104,5.2,376,"Science Fiction","Action","4"
"378",9e+07,15.350451,140807547,107,5.9,290,"Crime","Thriller","3"
"379",1e+08,15.625949,35168966,138,6.1,264,"Drama","History","7"
"380",2e+07,31.802807,79114085,129,6.6,650,"Adventure","Fantasy","4"
"381",8.8e+07,24.100863,108539911,144,7.3,616,"Romance","Drama","6"
"382",9e+07,3.593349,16178959,110,5.4,50,"Fantasy","Action","11"
"383",8.7e+07,14.824166,148336445,141,6.7,216,"Drama","History","7"
"384",9.2e+07,32.079995,494471524,113,6.1,950,"Action","Adventure","5"
"386",1e+08,37.272385,384335608,108,5.9,1410,"Animation","Comedy","11"
"388",8.5e+07,36.38795,315156409,124,6.2,840,"Action","Thriller","7"
"390",7.5e+07,36.605246,132274484,110,5.6,924,"Adventure","Action","8"
"392",8.5e+07,29.21998,340487652,107,6.6,1449,"Comedy","Family","11"
"393",8.5e+07,34.773106,208076205,115,6.3,1345,"Action","Thriller","2"
"394",8.5e+07,9.895061,183611771,100,5.1,313,"Comedy","Family","10"
"395",7.5e+07,36.743324,152930623,104,5.8,932,"Action","Comedy","11"
"396",8.5e+07,44.967453,194168700,136,6.7,1225,"Comedy","Romance","12"
"397",9e+07,41.207568,250649836,132,6.7,1240,"Action","Drama","11"
"398",8.5e+07,16.479851,219103655,121,6.2,360,"Comedy","Romance","12"
"400",8.5e+07,26.61951,197309027,83,6.1,656,"Adventure","Animation","9"
"402",6.8e+07,41.273567,96976270,131,7.2,999,"War","NA","3"
"403",8.5e+07,24.107835,80916492,104,6.4,514,"Adventure","Action","9"
"404",8.5e+07,32.044191,137298489,130,6.1,712,"Adventure","Fantasy","6"
"405",8.5e+07,16.595874,162242962,145,7.3,652,"Drama","History","12"
"406",8.5e+07,8.282876,158468292,104,6.1,1705,"Action","Crime","6"
"407",137250512.9,19.83683,NA,97,6.7,333,"Drama","Animation","2"
"408",9e+07,36.069611,142940100,178,6.9,1147,"Fantasy","Drama","11"
"409",8.5e+07,18.827753,78382433,108,5.5,427,"Action","Thriller","2"
"410",105029952.1,5.159407,37823676,123,7.3,85,"Drama","Music","12"
"411",8.5e+07,48.126297,183018522,106,5.5,1114,"Adventure","Fantasy","3"
"413",6e+07,29.211255,74208267,136,5.4,516,"Action","Thriller","3"
"414",8.4e+07,17.783361,123307945,106,4.7,332,"Fantasy","Comedy","7"
"415",8.4e+07,31.435539,275650703,88,5.4,820,"Mystery","Adventure","6"
"418",8e+06,13.661289,21028755,120,6.7,226,"Horror","Comedy","11"
"419",8.5e+07,11.77398,112483764,82,4.9,119,"Comedy","Family","7"
"421",8.5e+07,58.57976,160388063,120,6.5,1527,"Adventure","Fantasy","7"
"423",8.2e+07,18.447479,96085477,123,5.7,595,"Science Fiction","NA","11"
"429",8e+07,59.113174,2.8e+08,126,6.6,1673,"Action","Fantasy","6"
"430",8e+07,36.32705,343397247,83,6.3,1074,"Comedy","Animation","4"
"431",8e+07,55.659988,145771527,85,7.1,1314,"Animation","Family","6"
"432",8.5e+07,14.132583,1.44e+08,97,5.8,288,"Comedy","Family","12"
"433",7.5e+07,34.070054,140464664,120,5.9,855,"Action","Drama","5"
"434",8.4e+07,44.34333,NA,116,6.4,1526,"Action","Comedy","7"
"435",8.2e+07,26.065735,190320568,113,6.2,785,"Comedy","Drama","5"
"436",7.5e+07,23.473004,342695435,87,5.4,484,"Comedy","Fantasy","12"
"437",8e+07,45.589568,246984278,100,5.8,1155,"Comedy","NA","7"
"438",8e+07,23.496054,230685453,110,6,1051,"Action","Comedy","6"
"439",8e+07,16.939441,266728738,128,6.3,410,"Drama","Comedy","12"
"441",8e+07,19.500893,163733697,88,5.3,331,"Comedy","Romance","11"
"442",7.5e+07,29.558157,260696994,91,6,1333,"Animation","Comedy","3"
"443",8e+07,46.075037,245676146,138,6.8,1583,"Action","Crime","6"
"444",8e+07,23.531721,212874442,99,5.9,901,"Fantasy","Comedy","12"
"445",8e+07,49.078546,181001478,117,7.3,1077,"Thriller","Crime","7"
"446",8e+07,37.02665,214918407,117,6.3,1543,"Romance","Comedy","2"
"447",7.5e+07,45.154631,224012234,115,6.5,1270,"Action","Thriller","6"
"448",8e+07,46.887983,178066569,118,6.3,1018,"Mystery","Thriller","9"
"449",7.9e+07,24.598479,173013509,154,6.7,533,"Drama","NA","12"
"451",8e+07,11.50396,177977226,93,5.3,695,"Comedy","Family","11"
"452",8e+07,19.375768,91188905,113,5.2,369,"Horror","Thriller","7"
"453",8e+07,36.125715,250200000,88,6.5,1288,"Animation","Comedy","11"
"454",116686942.7,25.450534,NA,93,5.6,550,"Action","Comedy","1"
"455",8e+07,41.890722,233093859,104,5.2,1043,"Drama","Science Fiction","12"
"456",7.5e+07,22.179658,136982834,135,6.5,431,"Action","Drama","8"
"458",7e+07,18.264635,1.64e+08,98,5.6,332,"Action","Adventure","6"
"459",8e+07,11.187696,201584141,80,5.2,220,"Comedy","Family","12"
"460",8e+07,41.670544,122563539,83,7.4,831,"Western","Animation","5"
"461",8e+07,27.46264,169852759,102,5.3,498,"Comedy","Romance","7"
"462",8e+07,17.455024,136159423,130,5,388,"Adventure","Family","4"
"463",8e+07,21.394281,96105964,129,6.2,393,"Drama","Thriller","7"
"464",109066240,0.605645,NA,117,8,1,"Romance","Drama","4"
"465",8e+07,61.692197,473226958,89,6.7,1497,"Animation","Comedy","9"
"466",8e+07,14.530946,90874570,74,7,292,"Animation","Family","12"
"467",8e+07,25.978555,123729176,96,5.8,631,"Science Fiction","Adventure","3"
"468",9e+07,6.643778,NA,114,5.9,208,"Action","Adventure","12"
"469",1.02e+08,36.788745,147080413,99,6.1,932,"Action","Crime","6"
"470",7.5e+07,31.054334,142400065,129,5.9,893,"Action","Adventure","10"
"471",8.5e+07,21.891078,71485043,113,6.8,577,"Drama","Fantasy","10"
"472",8.5e+07,18.335992,NA,90,5.2,438,"Comedy","Fantasy","11"
"473",8.8e+07,40.138009,105316267,118,5.6,818,"Adventure","Fantasy","8"
"474",7e+07,44.090535,101371017,106,6.1,1509,"Comedy","Fantasy","12"
"475",165832184.6,3.300061,NA,81,6.4,47,"Mystery","Drama","9"
"476",113283041.5,20.632673,43312294,117,6.7,349,"Action","Adventure","9"
"477",8e+07,36.664991,122444772,89,5.9,1195,"Action","Science Fiction","9"
"478",8e+07,18.26121,34566746,145,6.9,189,"Drama","Thriller","12"
"479",8e+07,16.681269,159212469,115,5.8,378,"Action","Adventure","12"
"480",8e+07,10.088006,126546518,87,5.2,133,"Animation","Family","12"
"481",4.4e+07,7.89147,21400000,118,3,255,"Action","Science Fiction","5"
"482",8e+07,16.715631,68514844,90,5.6,297,"Animation","Comedy","11"
"483",8e+07,9.357734,53825515,112,5.1,165,"Drama","Music","12"
"484",8e+07,11.22268,19480739,116,5.4,318,"Action","Adventure","11"
"485",8e+07,14.564667,17626234,177,6.1,299,"Drama","Adventure","12"
"486",9e+07,11.356079,69131860,92,5.2,305,"Adventure","Comedy","11"
"487",9e+07,52.612025,146936910,106,5.7,1316,"Fantasy","Action","10"
"488",8e+07,13.800656,33463969,106,5.4,267,"Thriller","Action","11"
"489",8.6e+07,27.097932,107944236,94,6,639,"Adventure","Fantasy","12"
"490",153435491.5,10.706613,19406406,84,7.3,111,"Documentary","Family","10"
"491",8e+07,7.342892,5989640,110,4.8,111,"Thriller","Science Fiction","5"
"492",1.3e+08,50.561849,117831631,105,5.2,1267,"Action","Adventure","2"
"493",8e+06,0.719996,NA,89,5.3,9,"Comedy","Animation","10"
"496",7.9e+07,40.723459,355692760,94,5.8,1030,"Adventure","Action","1"
"497",7.8e+07,41.247402,248384621,95,6.4,915,"Animation","Family","9"
"498",7.8e+07,10.083905,209196298,124,6.7,1115,"Crime","Thriller","9"
"499",1e+08,16.759252,108103450,136,6.5,318,"Western","Adventure","3"
"500",7.9e+07,22.132418,149673788,91,4.1,604,"Comedy","NA","11"
"502",6.4e+07,35.384423,97571250,92,7.6,756,"Adventure","Animation","7"
"503",8e+07,15.673154,15071514,99,5.7,359,"Science Fiction","Thriller","8"
"504",7.6e+07,8.981427,35134820,88,3.9,87,"Action","Adventure","6"
"506",7.8e+07,47.436675,179265204,110,5.7,1155,"Fantasy","Action","7"
"514",7.5e+07,51.469576,335062621,136,6.9,1456,"Action","Adventure","6"
"517",5e+07,31.160542,90450008,117,6.5,709,"Family","Comedy","7"
"518",8e+07,15.761384,78000586,114,4.7,183,"Horror","Mystery","8"
"519",7.5e+07,17.561955,NA,78,4.3,318,"Action","Adventure","7"
"521",8e+07,38.864027,271430189,102,6,1705,"Comedy","NA","6"
"523",3.5e+07,13.25753,73034460,100,5.7,202,"Comedy","Family","1"
"524",7.5e+07,13.318744,215663859,124,5.9,283,"Action","Adventure","12"
"525",7.5e+07,18.70031,119000410,102,6.5,338,"Comedy","Drama","12"
"526",7.5e+07,47.094369,367275019,90,5.8,1557,"Animation","Action","9"
"527",7e+07,14.486311,154937680,134,6.6,284,"Drama","NA","12"
"528",5.3e+07,18.61472,95226116,118,5.4,292,"Comedy","Crime","3"
"529",7e+07,29.035222,130358911,164,6.9,696,"Drama","Action","12"
"530",7e+07,27.055085,85632458,121,6.4,573,"Action","Drama","3"
"531",7.5e+07,23.004607,98159963,100,5.7,772,"Action","Comedy","6"
"533",8e+07,14.209329,55041367,130,5.8,369,"Comedy","NA","12"
"534",7.5e+07,36.368839,140175006,91,6.3,874,"Animation","Comedy","7"
"535",7.5e+07,24.353302,67631903,123,6.2,302,"Action","Comedy","10"
"536",5.5e+07,19.143321,127600435,134,5.9,311,"Action","Adventure","7"
"537",7.5e+07,13.327372,NA,148,6.4,197,"Drama","History","12"
"538",7.5e+07,37.917002,226904017,110,5.7,880,"Fantasy","Action","11"
"539",5.2e+07,23.663713,77944725,113,6.2,512,"Mystery","Drama","3"
"540",7.5e+07,14.44381,36754634,94,6.3,313,"Animation","Action","6"
"541",7.5e+07,10.605084,51142659,116,5,166,"Action","Adventure","6"
"542",7.5e+07,11.873856,14567883,99,6.1,221,"Action","War","10"
"543",138169859.2,12.708963,5802422,84,5.8,282,"Action","Drama","9"
"544",7.5e+07,8.098369,5409517,93,4.3,78,"Adventure","Fantasy","2"
"545",4.5e+07,20.374308,21009180,113,5.7,276,"Action","Adventure","12"
"548",8.2e+07,39.127082,89792502,110,5.9,1623,"Action","Fantasy","3"
"549",7.3e+07,20.790703,103891409,98,5.8,327,"Crime","Mystery","8"
"550",7.5e+07,18.65988,13100000,134,5.8,476,"Science Fiction","NA","2"
"551",7.3e+07,45.720894,349779543,97,5.9,1022,"Family","Animation","5"
"552",7e+07,21.789615,111231041,112,5.4,444,"Romance","Comedy","2"
"553",7.5e+07,20.199057,61458982,146,5.7,390,"Comedy","Drama","7"
"554",7e+07,26.123705,86658558,110,6.5,513,"Thriller","Action","8"
"555",72500000,12.599836,162966177,116,6.2,491,"Comedy","NA","8"
"556",7e+07,13.543053,176104344,87,4.9,410,"Comedy","Family","6"
"558",7.2e+07,32.227223,96889998,125,6.6,765,"Drama","War","11"
"560",7.2e+07,11.215702,37317558,152,6.6,188,"Drama","Romance","12"
"561",9.4e+07,8.468586,54744738,116,4.5,179,"Action","NA","4"
"562",74500000,8.884318,62172050,109,6.9,180,"Adventure","Drama","4"
"563",6e+07,27.491891,256697520,108,6.2,1071,"Drama","Mystery","7"
"564",7.1e+07,21.462935,294456605,85,5.4,686,"Comedy","Family","6"
"565",7.2e+07,28.848187,408247917,106,6.4,1599,"Drama","Thriller","8"
"568",7e+07,20.230535,309457509,116,5.7,455,"Comedy","Romance","7"
"569",7e+07,46.217769,277448382,124,5.8,1424,"Action","Adventure","8"
"570",7.4e+07,36.952268,311594032,93,5.8,719,"Animation","Adventure","2"
"571",8e+07,16.411345,309492681,117,6.4,470,"Action","Thriller","11"
"573",7e+07,33.648404,300854823,144,6.6,1532,"Adventure","Fantasy","12"
"575",8e+07,34.052253,116643346,117,5.8,770,"Action","Thriller","8"
"576",6.8e+07,27.299301,203388341,136,6.5,1078,"Drama","Mystery","12"
"577",7.5e+07,20.219385,42285169,110,5.3,409,"Drama","Thriller","7"
"578",7e+07,42.957216,171183863,101,5.5,1217,"Adventure","Science Fiction","8"
"579",7.5e+07,29.412262,443140005,88,5.4,666,"Comedy","Family","12"
"580",7.5e+07,19.708731,114660784,138,6.7,521,"Action","History","3"
"582",7e+07,19.711951,1.18e+08,103,6.3,391,"Science Fiction","Action","12"
"583",7e+07,49.199234,202466756,116,5.5,1448,"Action","Science Fiction","3"
"585",119182076.5,13.758526,NA,125,6,216,"Fantasy","NA","6"
"586",6.6e+07,29.505574,177584879,146,7,992,"Drama","War","12"
"587",7e+07,43.873266,154984035,118,5.8,1523,"War","Drama","1"
"588",7e+07,24.961625,90000098,139,7.1,808,"Adventure","Action","8"
"589",7e+07,23.25645,134748021,133,5.8,493,"Drama","Crime","9"
"591",7e+07,20.089933,116672912,116,6,352,"Drama","Action","11"
"592",7e+07,48.032734,135560026,127,7.1,1184,"Adventure","Fantasy","8"
"593",7e+07,16.92991,131457682,136,7,630,"Adventure","Drama","9"
"594",7e+07,14.780634,67112664,111,5.2,304,"Comedy","Drama","1"
"595",7e+07,14.086292,65977295,116,5.4,228,"Action","Adventure","6"
"596",6e+07,29.261348,55987321,105,5,609,"Adventure","Action","10"
"597",7e+07,13.267631,33561137,97,5.2,269,"Action","Adventure","10"
"599",7.5e+07,23.515938,59418613,123,6,385,"Comedy","Drama","6"
"600",7e+07,14.244518,32287044,125,5.9,241,"Drama","War","2"
"601",6.6e+07,29.501489,57777106,116,6.1,695,"Action","Adventure","9"
"602",165896831.8,9.306253,NA,98,3.4,106,"Action","Science Fiction","2"
"603",7e+07,8.37378,19924033,91,4.3,97,"Action","Adventure","9"
"604",7e+07,10.930537,19870567,97,5.5,179,"Thriller","NA","1"
"605",7.5e+07,10.54544,13596911,95,5.9,228,"Adventure","Animation","8"
"606",7e+07,6.682006,18662027,88,5.9,43,"Animation","Music","6"
"607",7e+07,46.832372,17752940,133,5.1,826,"Crime","Drama","1"
"608",7e+07,24.664776,57958696,107,5.7,439,"Mystery","Action","9"
"609",7e+07,13.483387,38629478,114,4.6,180,"Crime","Mystery","3"
"610",5e+07,44.478043,122915111,115,6.7,1659,"Action","Thriller","10"
"611",7e+07,25.020428,61279452,99,4.4,533,"Action","Adventure","1"
"612",6.8e+07,22.392544,1.93e+08,124,5.9,437,"Thriller","Action","5"
"614",6.8e+07,22.572323,71069884,124,6.7,423,"Action","Crime","7"
"616",6e+07,10.004564,35431113,103,5.4,222,"Action","Comedy","11"
"618",7e+07,18.888806,39041505,127,6.9,395,"Adventure","Drama","5"
"619",6.8e+07,12.948627,29762011,121,5.7,250,"Adventure","Fantasy","8"
"620",3.6e+07,27.11589,83160734,105,5.4,611,"Comedy","NA","2"
"621",9e+07,26.153669,60289912,157,7.3,481,"Drama","Thriller","10"
"622",8e+07,28.223664,52099090,114,6.3,588,"Action","Drama","1"
"623",7e+07,37.507136,113280098,128,6.5,895,"Action","Drama","10"
"624",6.9e+07,11.023691,86387857,114,5.5,531,"Comedy","NA","7"
"625",6.9e+07,38.634767,112265139,94,5.5,1269,"Action","Fantasy","6"
"626",6.6e+07,25.877794,212404396,112,6,602,"Romance","Drama","4"
"627",6.6e+07,18.59991,189198313,121,6.6,488,"Mystery","Science Fiction","6"
"628",6.7e+07,12.282911,25303038,102,5,207,"Action","Adventure","4"
"630",6.6e+07,54.81489,203277636,130,6.1,1520,"Action","Crime","3"
"631",7e+07,31.39165,374111707,127,6.1,992,"Comedy","Romance","12"
"633",6.8e+07,26.792794,75715436,136,5.3,567,"Drama","Horror","3"
"634",6.5e+07,36.307296,275293450,149,6.7,1429,"History","Drama","11"
"637",6.5e+07,14.646884,172855065,104,5.5,297,"Fantasy","Comedy","10"
"639",6.5e+07,28.540267,250821495,119,6.3,838,"Comedy","Romance","12"
"640",6.5e+07,22.977983,128107642,98,6.5,1062,"Comedy","NA","7"
"641",9.5e+07,31.086791,250288523,136,6.3,1183,"Action","Adventure","7"
"642",6.5e+07,43.865294,211780824,95,6.2,1685,"Comedy","Drama","11"
"643",6.5e+07,43.055253,163442937,137,7.3,1400,"Drama","War","12"
