"","budget","id","original_language","popularity","revenue","runtime","status","title","vote_average","vote_count","genre_1","genre_2","prodcomp_1","prodcount_1","release_year","release_month"
"119",147118190.470005,77953,"en",16.460356,104907746,85,"Released","The Campaign",5.6,578,"Comedy",NA,"Everyman Pictures","United States of America",2012,"08"
"120",1e+08,37786,"en",18.325897,288347692,146,"Released","Sex and the City 2",5.4,426,"Comedy","Drama","New Line Cinema","United States of America",2010,"05"
"121",9.5e+07,10501,"en",37.054554,76432727,89,"Released","The Road to El Dorado",7,858,"Adventure","Animation","DreamWorks SKG","United States of America",2000,"03"
"122",6.5e+07,7980,"en",29.257137,93525586,136,"Released","The Lovely Bones",6.6,1065,"Fantasy","Drama","WingNut Films","United Kingdom",2009,"12"
"123",9.5e+07,68737,"en",63.628459,114178613,102,"Released","Seventh Son",5.2,957,"Adventure","Fantasy","Legendary Pictures","China",2014,"12"
"124",9e+07,8204,"en",21.436682,162839667,95,"Released","The Spiderwick Chronicles",6.3,572,"Adventure","Family","Paramount Pictures","United States of America",2008,"02"
"125",1.45e+08,10733,"en",10.660441,25819961,137,"Released","The Alamo",5.8,106,"Western","History","Imagine Entertainment","United States of America",2004,"04"
"126",9.8e+07,1408,"en",7.029308,10017322,119,"Released","Cutthroat Island",5.7,136,"Action","Adventure","Le Studio Canal+","France",1995,"12"
"127",1e+08,44048,"en",37.698465,167805466,98,"Released","Unstoppable",6.3,1165,"Action","Thriller","Twentieth Century Fox Film Corporation","United States of America",2010,"11"
"128",9e+07,5175,"en",35.814765,347325802,90,"Released","Rush Hour 2",6.4,1054,"Action","Comedy","New Line Cinema","United States of America",2001,"08"
"129",1e+08,2655,"en",15.835672,155464351,130,"Released","What Lies Beneath",6.3,488,"Drama","Horror","DreamWorks SKG","United States of America",2000,"07"
"130",1e+08,22794,"en",46.781182,242988466,90,"Released","Cloudy with a Chance of Meatballs",6.5,1747,"Animation","Comedy","Columbia Pictures","United States of America",2009,"09"
"131",9.2e+07,4327,"en",40.20395,264105545,98,"Released","Charlie's Angels",5.6,1232,"Action","Adventure","Columbia Pictures","United States of America",2000,"11"
"132",9.2e+07,7446,"en",43.192048,188072649,107,"Released","Tropic Thunder",6.5,1667,"Action","Comedy","DreamWorks SKG","United States of America",2008,"08"
"133",1e+08,271969,"en",29.608322,94061311,125,"Released","Ben-Hur",5.3,621,"Drama",NA,"Paramount Pictures","United States of America",2016,"08"
"134",1.2e+08,10865,"en",51.548589,186053725,95,"Released","Atlantis: The Lost Empire",6.7,1224,"Animation","Family","Walt Disney Pictures","United States of America",2001,"06"
"135",92580860.3110208,258509,"en",27.867368,233755553,92,"Released","Alvin and the Chipmunks: The Road Chip",5.8,428,"Adventure","Animation","Regency Enterprises","United States of America",2015,"12"
"136",7.5e+07,2253,"en",38.832842,200276000,121,"Released","Valkyrie",6.7,1173,"Drama","Thriller","United Artists","Germany",2008,"12"
"137",9e+07,10661,"en",40.597344,201596308,113,"Released","You Don't Mess with the Zohan",5.5,1048,"Comedy","Action","Columbia Pictures","United States of America",2008,"06"
"138",9e+07,10756,"en",16.302378,182290266,99,"Released","The Haunted Mansion",5.2,466,"Thriller","Fantasy","Walt Disney Pictures","United States of America",2003,"11"
"139",9e+07,686,"en",55.249434,171120329,150,"Released","Contact",7.2,1308,"Drama","Science Fiction","Warner Bros.","United States of America",1997,"07"
"140",9.5e+07,9383,"en",28.200874,190213455,112,"Released","Hollow Man",5.6,634,"Action","Science Fiction","Columbia Pictures Corporation","Germany",2000,"08"
"141",8e+07,179,"en",18.69984,162944923,128,"Released","The Interpreter",6.2,392,"Crime","Thriller","Universal Pictures","France",2005,"04"
"142",9e+07,76285,"en",40.262261,174578751,106,"Released","Percy Jackson: Sea of Monsters",5.9,1648,"Adventure","Family","1492 Pictures","United States of America",2013,"08"
"143",9.5e+07,1996,"en",56.811056,156505388,117,"Released","Lara Croft Tomb Raider: The Cradle of Life",5.5,1418,"Action","Adventure","Paramount Pictures","United States of America",2003,"07"
"144",6.8e+07,10003,"en",20.913852,118063304,116,"Released","The Saint",5.9,302,"Thriller","Action","Paramount Pictures","United States of America",1997,"04"
"145",9.2e+07,1535,"en",27.166757,143049560,126,"Released","Spy Game",6.8,579,"Action","Crime","Universal Pictures","United Kingdom",2001,"11"
"146",9e+07,2067,"en",16.058284,60874615,114,"Released","Mission to Mars",5.7,369,"Science Fiction",NA,"Spyglass Entertainment","United States of America",2000,"03"
"147",1e+08,2277,"en",24.939295,93700000,131,"Released","Bicentennial Man",6.9,963,"Comedy","Science Fiction","Laurence Mark Productions","Germany",1999,"12"
"148",9e+07,10357,"en",19.836124,NA,104,"Released","Volcano",5.2,376,"Science Fiction","Action","Twentieth Century Fox Film Corporation","United States of America",1997,"04"
"149",9e+07,4477,"en",15.350451,140807547,107,"Released","The Devil's Own",5.9,290,"Crime","Thriller","Columbia Pictures","United States of America",1997,"03"
"150",1e+08,8665,"en",15.625949,35168966,138,"Released","K-19: The Widowmaker",6.1,264,"Drama","History","Paramount Pictures","Canada",2002,"07"
"151",2e+07,9387,"en",31.802807,79114085,129,"Released","Conan the Barbarian",6.6,650,"Adventure","Fantasy","Universal Pictures","United States of America",1982,"04"
"152",8.8e+07,921,"en",24.100863,108539911,144,"Released","Cinderella Man",7.3,616,"Romance","Drama","Miramax Films","United States of America",2005,"06"
"153",9e+07,49852,"en",3.593349,16178959,110,"Released","The Nutcracker: The Untold Story",5.4,50,"Fantasy","Action","Vnesheconombank","United Kingdom",2010,"11"
"154",8.7e+07,4464,"en",14.824166,148336445,141,"Released","Seabiscuit",6.7,216,"Drama","History","Universal Pictures","United States of America",2003,"07"
"155",9.2e+07,664,"en",32.079995,494471524,113,"Released","Twister",6.1,950,"Action","Adventure","Universal Pictures","United States of America",1996,"05"
"156",1e+08,9836,"en",37.272385,384335608,108,"Released","Happy Feet",5.9,1410,"Animation","Comedy","Kennedy Miller Productions","Australia",2006,"11"
"157",8.5e+07,9772,"en",36.38795,315156409,124,"Released","Air Force One",6.2,840,"Action","Thriller","Columbia Pictures Corporation","Germany",1997,"07"
"158",7.5e+07,52451,"en",36.605246,132274484,110,"Released","The Three Musketeers",5.6,924,"Adventure","Action","Impact Pictures","United States of America",2011,"08"
"159",8.5e+07,4523,"en",29.21998,340487652,107,"Released","Enchanted",6.6,1449,"Comedy","Family","Walt Disney Pictures","United States of America",2007,"11"
"160",8.5e+07,59961,"en",34.773106,208076205,115,"Released","Safe House",6.3,1345,"Action","Thriller","Universal Pictures","United States of America",2012,"02"
"161",8.5e+07,10481,"en",9.895061,183611771,100,"Released","102 Dalmatians",5.1,313,"Comedy","Family","Walt Disney Pictures","United States of America",2000,"10"
"162",7.5e+07,59108,"en",36.743324,152930623,104,"Released","Tower Heist",5.8,932,"Action","Comedy","Universal Pictures","United States of America",2011,"11"
"163",8.5e+07,1581,"en",44.967453,194168700,136,"Released","The Holiday",6.7,1225,"Comedy","Romance","Columbia Pictures","United Kingdom",2006,"12"
"164",9e+07,9798,"en",41.207568,250649836,132,"Released","Enemy of the State",6.7,1240,"Action","Drama","Jerry Bruckheimer Films","United States of America",1998,"11"
"165",8.5e+07,22897,"en",16.479851,219103655,121,"Released","It's Complicated",6.2,360,"Comedy","Romance","Universal Pictures","United States of America",2009,"12"
"166",8.5e+07,7484,"en",26.61951,197309027,83,"Released","Open Season",6.1,656,"Adventure","Animation","Sony Pictures Animation","United States of America",2006,"09"
"167",6.8e+07,853,"en",41.273567,96976270,131,"Released","Enemy at the Gates",7.2,999,"War",NA,"Paramount Pictures","Ireland",2001,"03"
"168",8.5e+07,10159,"en",24.107835,80916492,104,"Released","The Rundown",6.4,514,"Adventure","Action","Columbia Pictures","United States of America",2003,"09"
"169",8.5e+07,9593,"en",32.044191,137298489,130,"Released","Last Action Hero",6.1,712,"Adventure","Fantasy","Columbia Pictures Corporation","United States of America",1993,"06"
"170",8.5e+07,1904,"en",16.595874,162242962,145,"Released","Memoirs of a Geisha",7.3,652,"Drama","History","DreamWorks SKG","United States of America",2005,"12"
"171",8.5e+07,9615,"en",8.282876,158468292,104,"Released","The Fast and the Furious: Tokyo Drift",6.1,1705,"Action","Crime","Universal Pictures","Japan",2006,"06"
"172",137250512.897207,51052,"en",19.83683,NA,97,"Released","Arthur Christmas",6.7,333,"Drama","Animation","Columbia Pictures","United States of America",2011,"02"
"173",9e+07,297,"en",36.069611,142940100,178,"Released","Meet Joe Black",6.9,1147,"Fantasy","Drama","Universal Pictures","United States of America",1998,"11"
"174",8.5e+07,9884,"en",18.827753,78382433,108,"Released","Collateral Damage",5.5,427,"Action","Thriller","David Foster Productions","United States of America",2002,"02"
"175",105029952.061065,16858,"en",5.159407,37823676,123,"Released","All That Jazz",7.3,85,"Drama","Music","Twentieth Century Fox Film Corporation","United States of America",1979,"12"
"176",8.5e+07,62764,"en",48.126297,183018522,106,"Released","Mirror Mirror",5.5,1114,"Adventure","Fantasy","Relativity Media","United States of America",2012,"03"
"177",6e+07,9341,"en",29.211255,74208267,136,"Released","The Core",5.4,516,"Action","Thriller","Paramount Pictures","United States of America",2003,"03"
"178",8.4e+07,12107,"en",17.783361,123307945,106,"Released","Nutty Professor II: The Klumps",4.7,332,"Fantasy","Comedy","Imagine Entertainment","United States of America",2000,"07"
"179",8.4e+07,9637,"en",31.435539,275650703,88,"Released","Scooby-Doo",5.4,820,"Mystery","Adventure","Atlas Entertainment","United States of America",2002,"06"
"180",8e+06,16281,"en",13.661289,21028755,120,"Released","Creepshow",6.7,226,"Horror","Comedy","Warner Bros.","United States of America",1982,"11"
